"","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val"
"XIST",15149.0818202357,5.02853303520998,1.39721821345923,3.59896041060067,0.000319491817296241,0.0429385396995739
"ZNF839P1",20.8147534259421,4.74978039153217,2.51166601896264,1.89108757122649,0.058612655350148,0.470375579073703
"IGHG1",160.236095117638,4.35940311044877,1.31511520309602,3.31484504185332,0.000916939389511012,0.0797737268874581
"IGKC",114.511502034819,3.65808947006211,1.05028285302022,3.48295648124009,0.00049590897177955,0.0552721400528119
"ENSG00000227619",30.5804285464135,3.65397151767388,0.876794093765832,4.16742259517291,3.08063069636927e-05,0.011641895940998
"KISS1R",51.38199060262,3.46445081153143,0.785651995756705,4.40965062170386,1.03537524138979e-05,0.00586325147252285
"COL6A4P2",37.6939046329616,3.19619981027289,0.60733810142273,5.26263674678993,1.42003971227077e-07,0.000293495478553793
"CSF3",22.8054085953454,3.17845904324906,1.57178768490102,2.02219362944634,0.0431563521628484,0.428145805407097
"ENSG00000275993",124.423454166779,3.06722309204395,1.06676705470875,2.87525104801944,0.004037063668104,0.161658029809428
"GPR6",99.4921496577198,2.99087190842694,0.744690113219289,4.01626375231091,5.91280794483532e-05,0.0171953100766108
"ENSG00000287689",81.229322422535,2.95756198763545,1.20198785606723,2.46055895881698,0.0138720777255121,0.2873131780352
"LINC01098",14.9451929664597,2.7821913905412,1.13851896245466,2.44369350207638,0.0145377712307283,0.292278083945465
"AMH",155.466337215512,2.5416656482738,0.531940964547658,4.77809722820489,1.76961812282888e-06,0.00186086886603215
"SLCO4A1-AS1",44.8360361417586,2.53038199624889,0.688830637649932,3.67344577599181,0.000239301476718685,0.0371009327943468
"CREB3L3",30.5919244632074,2.50425544595338,0.774864864990043,3.23186088194302,0.00122986916461032,0.0887928824336273
"PENK",380.099368524952,2.48449709529749,0.912530575102226,2.72264531522044,0.0064761545006093,0.204689712634352
"CBLN4",584.817355750585,2.45832911298083,0.867417463070106,2.83407841972642,0.00459580525737883,0.172503313685333
"SYNDIG1L",273.528102995588,2.36687829317145,0.726439441973563,3.2581907815209,0.00112124998221812,0.0842913414820231
"MSLN",59.7240100260401,2.35759701045036,0.5254370960616,4.48692532012237,7.22583882732048e-06,0.00485455938548814
"MME",45.8718541754916,2.33782393759568,0.722582669814917,3.23537227677283,0.00121484223288973,0.0882347574915042
"ANKRD34B",119.356525629371,2.31631408254151,0.936110684852608,2.47440192706081,0.0133459457517932,0.282257446609633
"LIF",59.0933232804755,2.28782662527573,1.22927490020108,1.86111879848966,0.0627274020859968,0.479492348739214
"ENSG00000288993",39.1055434761052,2.24964688695758,0.796115442262378,2.82577973938629,0.00471656841427922,0.17442648878862
"NPBWR1",26.196042788801,2.24500925538804,0.510606412464496,4.39675100152436,1.09883276568147e-05,0.00586325147252285
"C1QTNF12",24.0089637714998,2.21644534053948,0.765074177129676,2.89703326395736,0.00376709810514981,0.157631548046978
"ENSG00000266711",26.5021833553347,2.20807864369692,1.00893560131942,2.18852287580033,0.0286315368094209,0.372302338318632
"EIF1AY",147.626745360759,2.19355296313959,1.53942366543454,1.42491830702135,0.154180817056019,0.626150064670765
"SLC17A6",263.606592573952,2.18737743319974,1.13835663409409,1.92152210272879,0.0546659185954285,0.459834084479133
"PWP2",84.3909070662013,2.17222531998115,1.0172021935257,2.135490204216,0.0327209894971753,0.388889362151687
"F2RL3",41.0154695393528,2.16890124416272,0.943506967085392,2.29876547797281,0.0215182601185494,0.340157280540678
"GPRC5A",85.1238210067535,2.15827106794524,1.07993745321962,1.99851487834854,0.045660868543431,0.43444286647971
"FGF7P6",29.8947620597084,2.15583538716076,0.671678526229445,3.20962380510037,0.00132908795719491,0.0921069379160917
"CXCL8",53.099957615559,2.12689123349025,1.40209218576212,1.51694107925875,0.129281560817973,0.598230618145898
"MEP1A",20.998226225656,2.10108690304185,0.663833594344332,3.16508070839212,0.00155039939032273,0.101345836903637
"ENSG00000286198",50.1518850193397,2.09439346369903,0.459154539878096,4.56141294879734,5.08105410008358e-06,0.00409165680744928
"ANGPTL4",2495.65846782149,2.09286056720769,0.500308952918939,4.18313635004405,2.87514831975434e-05,0.0110378313113617
"FBXL21P",29.318856616727,2.08817549121392,0.655416518113277,3.18602817216916,0.00144240550796249,0.0964467851597222
"IL1RL1",256.892690744038,2.08156806514183,1.15261613995815,1.80595082176917,0.0709260216146986,0.495721102776836
"MAFF",830.906581587594,2.07983663288668,0.709966185402244,2.92948689057396,0.00339522134313543,0.148225313005548
"DKK1",28.969814699299,2.06726590359277,0.839809934510215,2.46158781724631,0.0138323530356491,0.28692048929692
"LRRC58-DT",107.038432877462,2.0633844021317,0.712639212859214,2.89541238385283,0.00378660719861413,0.158174234379415
"ENSG00000230882",49.6763106641403,2.05512296618603,0.729800196706936,2.81600769013125,0.00486245027596801,0.177648372167013
"SLCO4A1",1562.69424119237,2.05358293565725,0.627281462351237,3.27378227942495,0.0010611834038024,0.0833734368765766
"SOCS3",1432.27947260654,2.04846901693167,0.881126233383769,2.32483035837554,0.0200810330055511,0.331295951072482
"TREM1",35.439411888271,2.01085011537901,0.979385878099948,2.05317450490521,0.0400556561278829,0.417040938058104
"ASPG",19.5620073094004,2.00684968302044,0.800144537929135,2.50810895768206,0.0121379232951233,0.272701206097815
"FSTL4",607.66148698404,1.98802727140079,0.526813095859855,3.77368612706176,0.000160853111443058,0.0308761377250936
"CHRNA3",59.6114279296711,1.97724210612814,0.717735838994056,2.75483262602484,0.00587221668387307,0.195089880104607
"ENSG00000282572",46.2889815199724,1.96064655124197,0.53218110571497,3.68417166672593,0.000229447572786698,0.0367511191749608
"CACNA1G",1163.7662068222,1.95791152468541,0.442195367055648,4.42770700589231,9.52401529322532e-06,0.00561823985077921
"MEPE",111.105251887848,1.95574584787771,0.578856872800233,3.37863458097465,0.000728467668711459,0.0715916722590372
"ENSG00000167046",32.5087077492749,1.95287745523301,0.671277348077096,2.90919611815759,0.00362359469104323,0.154025063616119
"KRT19",73.5989951040892,1.9465916201241,0.564045238346113,3.4511267674768,0.000558251292861709,0.0592187095138303
"IGHG2",24.44362740361,1.92530221916121,1.53040646783753,1.25803324778264,0.208379732378721,0.687192828921701
"TTTY14",526.60360312985,1.92415406063707,1.86241380638077,1.03315066396349,0.301533396855634,0.748955226534467
"RPRM",196.87760221762,1.90592987786523,0.475115126694798,4.01151167533664,6.0331192774523e-05,0.0171953100766108
"LINC01767",22.9274140220288,1.90552965889583,0.781651754124713,2.43782432373561,0.0147759528893629,0.294975661166499
"LRRC38",21.5099154886936,1.8943535918745,0.732403038533854,2.58649062361439,0.00969588083679126,0.244949831783443
"GLRA1",38.846099689964,1.89396001560323,0.521920423976977,3.62882908695441,0.000284709648540432,0.0407454885183366
"BATF",19.2400526350787,1.88241576262398,0.863018476889525,2.18119983874337,0.0291686387572339,0.375201161126817
"LINC01511",33.1040676547302,1.87862551359883,0.662462745046069,2.83582062183464,0.0045708110194339,0.172503313685333
"ADAMTS2",433.475993142893,1.86854813346533,0.579728403354061,3.22314401477435,0.001267917891166,0.0909097123161379
"SMYD1",17.6779750787412,1.86267378297475,0.877746450100041,2.1221091612076,0.0338285722669115,0.39378812937172
"ENSG00000250039",35.3007413043611,1.85033170890789,0.624469857560109,2.96304407091383,0.0030461295286462,0.140064047109956
"CCN4",68.5777625596498,1.83305526795917,0.603500171193821,3.03737323608888,0.00238649757736098,0.125751264501204
"ENSG00000235390",35.7976418267097,1.82525169912969,0.824054054743898,2.21496598265868,0.0267623995039642,0.364463854272286
"CRABP1",34.376022456634,1.8186475943945,0.792862074654946,2.2937754907573,0.0218033979374484,0.34257861401959
"PLIN2",978.301000081403,1.81725561004638,0.673319397680261,2.69895032923043,0.00695585573376314,0.210854049044685
"TMEM233",152.734771953054,1.81439853673688,0.469198283783573,3.86701869858886,0.000110173983298049,0.0254019842738874
"BDKRB2",108.942796019794,1.81411698621526,0.536271966033827,3.38283017035582,0.000717429825019388,0.0711087143454859
"ENSG00000289404",29.6435920246807,1.80933780448589,0.53970373260695,3.35246487132151,0.000800954051842779,0.0750847856506568
"PKP1",40.3982612264091,1.804205947059,0.681590152997003,2.64705400910763,0.00811963838960505,0.226051592985738
"SIK1",49.2643602925497,1.79031241325291,0.912551731183416,1.96187498426111,0.0497770409178714,0.447739478611453
"ENSG00000229425",56.5813355334147,1.77486263666387,0.646891952952546,2.74367709872266,0.00607552667839647,0.198035967983419
"ALOXE3",54.4268493047591,1.76785751893127,0.510027397436989,3.46620108608907,0.000527868325158708,0.0577693362546991
"S100A9",121.186742544229,1.76604733749196,0.963232903180857,1.83345827541811,0.0667344481128586,0.485823583230305
"SMIM24",49.682905810741,1.76459635875158,0.534579940366186,3.30090268172583,0.000963743049494808,0.080303735969506
